2011_IV,2011_NRM_Score,2016_NRMVOTES,2016_Opp_Votes,2021_NRM_Score
3087.0,0.5819764764974258,56371.0,43822.0,0.6106560514430069
2507.0,0.5506182755649983,43742.0,23633.0,0.7047686664300082
2401.0,0.8694392364070224,61553.0,10361.0,0.7301910189068312
1907.0,0.7570682461412774,61837.0,28136.0,0.7855937503687708
2507.0,0.7166006032956896,31391.0,23633.0,0.5039064468975251
2507.0,0.85250796907632,43742.0,38096.0,0.7287984525525297
3815.0,0.6982357958084578,82281.0,55185.0,0.3795555177111717
3261.0,0.6514838970181613,66063.0,23633.0,0.3689004345664758
2507.0,0.7859683082740614,43742.0,23633.0,0.8451738625995472
2507.0,0.8443252832318671,43742.0,38340.0,0.8044935152596306
954.0,0.6183672184805187,10161.0,8807.0,0.2814684381836615
2507.0,0.460795302582069,43742.0,23633.0,0.2391501542808282
3202.0,0.805321700338528,84349.0,38764.0,0.4495779583981976
1329.0,0.7828735220351128,24761.0,12197.0,0.775097552323519
2507.0,0.5298089387364031,43742.0,23633.0,0.4807057829862486
2507.0,0.9104958905186992,43742.0,40300.0,0.8478935278376394
1575.0,0.8063173162149821,33039.0,11100.0,0.4992897873479218
2811.0,0.944201732198973,86533.0,11120.0,0.905183799251596
3025.0,0.3881890274206444,21806.0,30317.0,0.5272655943507257
3453.0,0.6017684973099664,29673.0,2817.0,0.831831522578652
3127.0,0.5458374580251946,36653.0,32243.0,0.5673794648819506
2507.0,0.4936635262449529,46777.0,23633.0,0.6090027060920071
2507.0,0.7166006032956896,43742.0,23633.0,0.2794420120150697
2595.0,0.5350782514840798,41998.0,49833.0,0.323703555390292
3326.0,0.8274664968770845,55106.0,24049.0,0.6766370152232376
2507.0,0.6258169792057522,65543.0,23633.0,0.5401085864834573
4199.0,0.785360566036335,43742.0,46908.0,0.8794229818490006
2010.0,0.5477902674020806,20240.0,2424.0,0.8734907706789997
1932.0,0.5527965039466106,20973.0,14691.0,0.7442021884697044
2198.0,0.6612191844841687,41618.0,34048.0,0.2646529045102268
2507.0,0.8552805324997305,43742.0,42002.0,0.6266815556679985
3864.0,0.5937014674353593,86328.0,23633.0,0.2570517826007894
4599.0,0.5825591216216216,72505.0,37578.0,0.6896576870907049
3138.0,0.7580800788333756,43742.0,52843.0,0.8651638488833229
3290.0,0.6342739114501782,58560.0,49931.0,0.6488612237019881
2507.0,0.7031726561463997,90593.0,55539.0,0.5783332925665925
